publication_id	publication	time	time_slice_id	type	subfield_id	subdomain_id
356	KILLWORT_1978_S_159	1978	0	ARTICLE	2	1
357	LARSON_1978_J_109	1978	0	ARTICLE	4	4
358	LAUMANN_1978_A_455	1978	0	ARTICLE	2	0
359	MACNEIL_1978_N_854	1978	0	ARTICLE	4	0
360	MCCALLIS_1978_S_131	1978	0	ARTICLE	4	3
361	NEMHAUSE_1978_M_265	1978	0	ARTICLE	3	-1
362	PEARLIN_1978_J_2	1978	0	ARTICLE	2	4
363	PILISUK_1978_S_273	1978	0	ARTICLE	4	4
364	POOL_1978_S_5	1978	0	ARTICLE	4	2
365	RUSSELL_1978_J_290	1978	0	ARTICLE	4	4
366	SAILER_1978_S_73	1978	0	ARTICLE	0	2
367	SALANCIK_1978_A_224	1978	0	ARTICLE	4	0
368	SARASON_1978_J_932	1978	0	ARTICLE	1	4
369	SEIDMAN_1978_J_139	1978	0	ARTICLE	2	2
370	SMALL_1978_S_327	1978	0	ARTICLE	0	1
371	SMITH_1978_E_106	1978	0	ARTICLE	4	3
372	SOKOLOVS_1978_H_5	1978	0	ARTICLE	4	4
373	TAYLOR_1978_M_145	1978	0	ARTICLE	2	3
374	WILSON_1978_P_436	1978	0	ARTICLE	1	3
375	WOLFE_1978_S_53	1978	0	ARTICLE	1	2
376	WOOD_1978_J_367	1978	0	ARTICLE	4	4
377	YORKE_1978_S_51	1978	0	ARTICLE	2	1
378	AKERS_1979_A_636	1979	0	ARTICLE	1	2
379	ANDERSON_1979_N_361	1979	0	ARTICLE	2	1
380	ASHER_1979_D_443	1979	0	ARTICLE	4	4
381	BERKMAN_1979_A_186	1979	0	ARTICLE	4	4
382	BERNDT_1979_D_608	1979	0	ARTICLE	4	2
383	BREIGER_1979_S_262	1979	0	ARTICLE	2	2
384	BREWER_1979_P_307	1979	0	ARTICLE	3	3
385	BUYS_1979_P_547	1979	0	ARTICLE	2	3
386	CHURCHIL_1979_J_64	1979	0	ARTICLE	4	0
387	COCHRAN_1979_C_601	1979	0	ARTICLE	4	4
388	COHEN_1979_A_588	1979	0	ARTICLE	4	2
389	COHEN_1979_C_203	1979	0	ARTICLE	3	4
390	COHEN_1979_J_270	1979	0	ARTICLE	4	4
391	COLLETTA_1979_J_837	1979	0	ARTICLE	4	4
392	CONNER_1979_J_116	1979	0	ARTICLE	4	4
393	EFRON_1979_A_1	1979	0	ARTICLE	3	-1
